Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,IMDB_Rating,Rotten_Tomatoes_Rating,Metacritic_Rating
The One I Love,2014,R,08 Aug 2014,91 min,"Comedy, Drama, Fantasy",Charlie McDowell,Justin Lader,"Mark Duplass, Elisabeth Moss, Ted Danson","A troubled couple vacate to a beautiful getaway, but bizarre circumstances further complicate their situation.",English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTgzODMyMjcyOV5BMl5BanBnXkFtZTgwMTAyMjMyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.0,"44,088",tt2756032,movie,N/A,"$513,447",N/A,N/A,True,7.0/10,83%,66/100
Capitalism: A Love Story,2009,R,02 Oct 2009,127 min,"Documentary, Crime, History",Michael Moore,Michael Moore,"Michael Moore, William Black, Jimmy Carter",An examination of the social costs of corporate interests pursuing profits at the expense of the public good.,"English, Russian, Spanish",United States,4 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BMTYyMTA2MTE4NF5BMl5BanBnXkFtZTcwNTgwMDE4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.4,"43,926",tt1232207,movie,N/A,"$14,363,397",N/A,N/A,True,7.4/10,74%,61/100
Love & Mercy,2014,PG-13,19 Jun 2015,121 min,"Biography, Drama, Music",Bill Pohlad,"Oren Moverman, Michael A. Lerner, Brian Wilson","John Cusack, Paul Dano, Elizabeth Banks","In the 60s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 80s, he's a broken, confused man under the 24-hour watch of shady therapist, Dr. Eugene L...",English,United States,20 wins & 58 nominations,https://m.media-amazon.com/images/M/MV5BMTk1MTkwMzU4Nl5BMl5BanBnXkFtZTgwNjY0MDE1NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.4,"42,932",tt0903657,movie,N/A,"$12,551,031",N/A,N/A,True,7.4/10,89%,80/100
Can't Buy Me Love,1987,PG-13,14 Aug 1987,94 min,"Comedy, Drama, Romance",Steve Rash,Michael Swerdlick,"Patrick Dempsey, Amanda Peterson, Courtney Gains",An outcast secretly pays the most popular girl in school one thousand dollars to pretend to be his girlfriend for a month.,English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BYzk0MDY1MDEtMGM5ZS00Yjg2LWIxMGQtNDZlZGE5MjY0ZjhjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,6.8,"42,733",tt0092718,movie,N/A,"$31,623,833",N/A,N/A,True,6.8/10,50%,36/100
Love and Death,1975,PG,10 Sep 1975,85 min,"Comedy, War",Woody Allen,Woody Allen,"Woody Allen, Diane Keaton, Georges Adet","In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",English,"France, United States",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYTNmM2JjZTUtMzJmMi00OWQ1LTk4MWYtZmE1YTAwYWNlNTliXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,7.6,"41,351",tt0073312,movie,N/A,"$20,123,742",N/A,N/A,True,7.6/10,100%,89/100
Everyone Says I Love You,1996,R,17 Jan 1997,101 min,"Comedy, Musical, Romance",Woody Allen,Woody Allen,"Woody Allen, Goldie Hawn, Julia Roberts",A New York girl sets her father up with a beautiful woman in a troubled marriage while her stepsister gets engaged.,"English, French, Italian, Hindi",United States,11 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BYTdmZDM0NWQtNTc1My00MGEyLWEzYzctY2E1NDY1ZjQwNzRhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}]",N/A,6.7,"39,550",tt0116242,movie,N/A,"$9,759,200",N/A,N/A,True,6.7/10,77%,
For Love of the Game,1999,PG-13,17 Sep 1999,137 min,"Drama, Romance, Sport",Sam Raimi,"Michael Shaara, Dana Stevens","Kevin Costner, Kelly Preston, John C. Reilly","After 19 years of playing the game he's loved his whole life, Detroit Tigers pitcher Billy Chapel has to decide if he's going to risk everything and put everything out there.",English,United States,7 nominations,https://m.media-amazon.com/images/M/MV5BNjA5ZDZkMTctYmVhOC00ZDQzLWE3MTctNWIyZmRhOGZhMDM4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.6,"37,931",tt0126916,movie,N/A,"$35,188,640",N/A,N/A,True,6.6/10,46%,43/100
Love Story,1970,PG,16 Dec 1970,100 min,"Drama, Romance",Arthur Hiller,Erich Segal,"Ali MacGraw, Ryan O'Neal, John Marley",A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,English,United States,Won 1 Oscar. 10 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BZmFjYWU1MGQtM2FiMi00YjA3LWIwYjUtZDdhYWEyOWFhZGE0XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,6.9,"37,829",tt0066011,movie,N/A,"$106,550,690",N/A,N/A,True,6.9/10,63%,84/100
Love Lies Bleeding,2024,R,03 May 2024,104 min,"Action, Adventure, Crime",Rose Glass,"Rose Glass, Weronika Tofilska","Anna Baryshnikov, Kristen Stewart, Dave Franco","Gym manager Lou falls for Jackie, a bodybuilder who is passing through town en route to a competition in Las Vegas.",English,"United Kingdom, United States",2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BZTA1Y2Q0N2QtNjU2Yi00MTMxLWI4NmUtMWFjNzRkNzU1ODRhXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",N/A,6.7,"37,808",tt19637052,movie,N/A,"$8,335,797",N/A,N/A,True,6.7/10,94%,
"I Love You, Beth Cooper",2009,PG-13,10 Jul 2009,102 min,"Adventure, Comedy, Family",Chris Columbus,Larry Doyle,"Hayden Panettiere, Paul Rust, Jack Carpenter","A nerdy valedictorian proclaims his love for Beth Cooper--the hottest, most popular girl in school--during his graduation speech. That very night, she shows up at his door offering to show him the best night of his life.",English,"United States, Canada, United Kingdom",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTgyNTc2NDM3NF5BMl5BanBnXkFtZTcwNjU3Mzg0Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.3,"37,654",tt1032815,movie,N/A,"$14,800,725",N/A,N/A,True,5.3/10,13%,32/100
Love at First Sight,2023,PG-13,15 Sep 2023,91 min,"Drama, Romance",Vanessa Caswill,"Katie Lovejoy, Jennifer E. Smith","Haley Lu Richardson, Ben Hardy, Rob Delaney",A 20 year old girl misses her flight at JFK Airport and meets a young British guy who may turn out to be her true love.,English,"United States, United Kingdom",2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BOTY0M2EyNGUtYmZiYi00MTVlLThkMWMtMjNkZjg5Nzg2NjRmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}]",N/A,6.8,"35,193",tt2183014,movie,N/A,N/A,N/A,N/A,True,6.8/10,74%,
All the Boys Love Mandy Lane,2006,R,06 Sep 2013,90 min,"Horror, Mystery, Thriller",Jonathan Levine,Jacob Forman,"Amber Heard, Anson Mount, Whitney Able","A group of high-schoolers invite Mandy Lane, an innocent, desirable girl, to a weekend party on a secluded ranch. While the festivities rage on, the number of revelers begins to drop mysteriously.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMzM0MjU1MzUzMF5BMl5BanBnXkFtZTcwMjcwNDQyOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,5.5,"34,990",tt0490076,movie,N/A,N/A,N/A,N/A,True,5.5/10,46%,44/100
Love Happens,2009,PG-13,18 Sep 2009,109 min,"Drama, Romance",Brandon Camp,"Brandon Camp, Mike Thompson","Jennifer Aniston, Aaron Eckhart, Dan Fogler","A widower whose book about coping with loss turns him into a best-selling self-help guru, falls for the hotel florist where his seminar is given, only to learn that he hasn't yet truly confronted his wife's passing.",English,"United States, Canada, United Kingdom",1 win,https://m.media-amazon.com/images/M/MV5BMTU1ODc4NjkyOF5BMl5BanBnXkFtZTcwMTA1MjU2Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.7,"34,129",tt0899106,movie,N/A,"$22,965,110",N/A,N/A,True,5.7/10,16%,33/100
Must Love Dogs,2005,PG-13,29 Jul 2005,98 min,"Comedy, Romance",Gary David Goldberg,"Claire Cook, Gary David Goldberg","Diane Lane, John Cusack, Elizabeth Perkins","Sarah Nolan, a preschool teacher, is forced into finding a man after her sister Carol makes her a profile on a matchmaking website. Her life is changed when she meets Jake, a recent divorcee.","English, Armenian",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNGU5MmVlYTQtZTllZS00ZTgwLTk2NWEtNjI1OTRkOTQ1MTE0XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.9,"33,168",tt0417001,movie,N/A,"$43,894,863",N/A,N/A,True,5.9/10,37%,46/100
Bob Marley: One Love,2024,PG-13,14 Feb 2024,107 min,"Biography, Drama, Music",Reinaldo Marcus Green,"Terence Winter, Frank E. Flowers, Zach Baylin","Kingsley Ben-Adir, Lashana Lynch, James Norton","The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BY2U4M2NmY2ItMjAyNC00NzM1LTg3ZTEtNzVlYjEzNTE5NDI5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}]",N/A,6.3,"28,289",tt8521778,movie,N/A,"$96,893,170",N/A,N/A,True,6.3/10,45%,
A Love Song for Bobby Long,2004,R,21 Jan 2005,119 min,Drama,Shainee Gabel,"Ronald Everett Capps, Shainee Gabel","Scarlett Johansson, John Travolta, Gabriel Macht",A headstrong young woman returns to New Orleans after the death of her estranged mother.,English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BOGEyZDhlYTUtYTdmMS00NDVhLThiZWItMDIyYjRlZDYzODgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,7.1,"27,293",tt0369672,movie,N/A,"$164,308",N/A,N/A,True,7.1/10,44%,48/100
Love the Coopers,2015,PG-13,13 Nov 2015,107 min,"Comedy, Fantasy, Romance",Jessie Nelson,Steven Rogers,"Steve Martin, Diane Keaton, John Goodman",The intertwined stories of four generations of Coopers unfold right before the annual family reunion on Christmas Eve. Can they survive the most beautiful time of the year?,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMjE4NTkyODk4NF5BMl5BanBnXkFtZTgwNjY0NzkxNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.8,"26,925",tt2279339,movie,N/A,"$26,302,731",N/A,N/A,True,5.8/10,18%,31/100
Love & Friendship,2016,PG,03 Jun 2016,90 min,"Comedy, Drama, Romance",Whit Stillman,"Whit Stillman, Jane Austen","Kate Beckinsale, Chloë Sevigny, Xavier Samuel","Lady Susan Vernon takes up temporary residence at her in-laws' estate and, while there, is determined to be a matchmaker for her daughter Frederica--and herself too, naturally.","English, French","United Kingdom, Ireland, France, Netherlands",7 wins & 54 nominations,https://m.media-amazon.com/images/M/MV5BZjNjMzk5ZjUtNmIwZS00OGFmLWE5NGItZWY3Y2UyMTFkNDAxXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,6.4,"26,617",tt3068194,movie,N/A,"$14,016,568",N/A,N/A,True,6.4/10,96%,87/100
Love at First Sight,2023,PG-13,15 Sep 2023,91 min,"Drama, Romance",Vanessa Caswill,"Katie Lovejoy, Jennifer E. Smith","Haley Lu Richardson, Ben Hardy, Rob Delaney","Hadley and Oliver begin to fall for each other on their flight from New York to London. The probability of ever finding each other again seems impossible, but love - and London - may have a way of defying the odds.",English,"United Kingdom, United States",1 win,https://m.media-amazon.com/images/M/MV5BYmE0MWJhNDgtMTIwNy00YTE0LWIwMTQtY2QzZDRkZjI3OTNhXkEyXkFqcGdeQXVyMTQ4MDUxMTk1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}]",N/A,6.8,"26,388",tt13444014,movie,N/A,N/A,N/A,N/A,True,6.8/10,74%,
A Short Film About Love,1988,Not Rated,04 Aug 1995,87 min,"Drama, Romance",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz","Grazyna Szapolowska, Olaf Lubaszenko, Stefania Iwinska","A naive inexperienced young man spies on a woman who lives across the courtyard, and falls in love with her. He starts using tricks which he hopes will lead to them meeting.","Polish, Portuguese",Poland,14 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMGUyMzFmMmUtNmYxMS00YTFkLThiZDktNmE5YmFmYzczYzhlXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,8.1,"26,230",tt0095467,movie,N/A,N/A,N/A,N/A,True,8.1/10,95%,
Addicted to Love,1997,R,23 May 1997,100 min,"Comedy, Romance",Griffin Dunne,Robert Gordon,"Meg Ryan, Matthew Broderick, Kelly Preston","Maggie's and Sam's former partners are in love; she wants revenge and he wants his lost love back, so they work together to break up the happy couple.","English, French",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZDU5ZjA5ZjMtZGZlOS00M2U4LTkyOTktYzYyNGZjN2UxYjdkXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.1,"25,893",tt0118556,movie,N/A,"$34,673,095",N/A,N/A,True,6.1/10,55%,49/100
Seeking True Love,2017,Not Rated,18 Aug 2017,116 min,"Comedy, Romance",Ashwiny Iyer Tiwari,"Nicolas Barreau, Shreyas Jain, Nitesh Tiwari","Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao","Set in the small-town of Bareilly, Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi.",Hindi,India,12 wins & 31 nominations,https://m.media-amazon.com/images/M/MV5BYThmNTMwZDYtZWFiYi00MGI4LTk0NzUtMzc2Njc2MmRhOGE2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}]",N/A,7.5,"25,561",tt6967980,movie,N/A,N/A,N/A,N/A,True,7.5/10,73%,
What's Love Got to Do with It,1993,R,25 Jun 1993,118 min,"Biography, Drama, Music",Brian Gibson,"Tina Turner, Kurt Loder, Kate Lanier","Angela Bassett, Laurence Fishburne, RaéVen Kelly","The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.",English,United States,Nominated for 2 Oscars. 3 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BYmQ1Yjk3N2UtODMwMy00MDVhLTkzNDctM2ZkODZmYzdhNjk3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.3,"24,792",tt0108551,movie,N/A,"$39,100,956",N/A,N/A,True,7.3/10,97%,76/100
Love & Basketball,2000,PG-13,21 Apr 2000,124 min,"Drama, Romance, Sport",Gina Prince-Bythewood,Gina Prince-Bythewood,"Sanaa Lathan, Omar Epps, Glenndon Chatman",Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.,"English, Spanish",United States,14 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BNzEzYTkzMGEtOTQyOS00ODE2LWIwOGItNzIxZWI3MzRmNDA5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.2,"24,509",tt0199725,movie,N/A,"$27,475,093",N/A,N/A,True,7.2/10,85%,72/100
I Am Love,2009,R,23 Jul 2010,120 min,"Drama, Romance",Luca Guadagnino,"Barbara Alberti, Ivan Cotroneo, Walter Fasano","Tilda Swinton, Flavio Parenti, Edoardo Gabbriellini","Emma left Russia to live with her husband in Italy. Now a member of a powerful industrial family, she is the respected mother of three, but feels unfulfilled. One day, Antonio, a talented chef and her son's friend, makes her sense...","Italian, Russian, English",Italy,Nominated for 1 Oscar. 16 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BMjAwNjY5OTUxM15BMl5BanBnXkFtZTcwNjE3MTQxMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.0,"24,193",tt1226236,movie,N/A,"$5,005,465",N/A,N/A,True,7.0/10,81%,79/100
Love in the Time of Cholera,2007,R,16 Nov 2007,139 min,"Drama, Romance",Mike Newell,"Ronald Harwood, Gabriel García Márquez","Javier Bardem, Giovanna Mezzogiorno, Benjamin Bratt","Florentino, rejected by the beautiful Fermina at a young age, devotes much of his adult life to carnal affairs as a desperate attempt to heal his broken heart.",English,"United States, Mexico, United Kingdom, Colombia",8 nominations,https://m.media-amazon.com/images/M/MV5BMTQ3OTE0OTM4N15BMl5BanBnXkFtZTcwNDg3OTI1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.4,"24,191",tt0484740,movie,N/A,"$4,607,608",N/A,N/A,True,6.4/10,27%,43/100
Toilet: A Love Story,2017,Not Rated,11 Aug 2017,155 min,"Comedy, Drama, Romance",Shree Narayan Singh,"Medha Jadhav, Siddharth-Garima, Siddharth Singh","Akshay Kumar, Anupam Kher, Divyendu Sharma","A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.",Hindi,India,8 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BMTAxODQ2NDEwOTZeQTJeQWpwZ15BbWU4MDk5MDM3NjIy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"23,284",tt5785170,movie,N/A,"$1,830,715",N/A,N/A,True,7.2/10,,
Falling Inn Love,2019,TV-PG,29 Aug 2019,98 min,"Comedy, Romance",Roger Kumble,"Elizabeth Hackett, Hilary Galanoy","Christina Milian, Adam Demos, Jeffrey Bowyer-Chapman","When city girl Gabriela spontaneously enters a contest and wins a rustic New Zealand inn, she teams up with bighearted contractor Jake Taylor to fix and flip it.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWE1NmMzNjUtMDc3NS00ZjBlLTllMTktZTVkMWQzZGVlYzdhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}]",N/A,5.7,"22,388",tt9860728,movie,N/A,N/A,N/A,N/A,True,5.7/10,68%,
Love Wedding Repeat,2020,TV-MA,10 Apr 2020,100 min,"Comedy, Romance",Dean Craig,"Dean Craig, Francis Nief, Christelle Raynal","Sam Claflin, Olivia Munn, Freida Pinto","While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl who got away in alternate versions of the sa...",English,"United Kingdom, Italy",N/A,https://m.media-amazon.com/images/M/MV5BZGEwZDNmNTktOGNmMi00ZmRlLTljYzItNWJkZDc2OTcxZmZjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.6,"22,312",tt5096470,movie,N/A,N/A,N/A,N/A,True,5.6/10,34%,41/100
My Summer of Love,2004,R,01 Jul 2005,86 min,"Drama, Romance",Pawel Pawlikowski,"Helen Cross, Pawel Pawlikowski, Michael Wynne","Natalie Press, Emily Blunt, Paddy Considine","In the Yorkshire countryside, working-class tomboy Mona meets the exotic, pampered Tamsin. Over the summer season, the two young women discover they have much to teach one another, and much to explore together.",English,United Kingdom,Won 1 BAFTA Award9 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMTg2NTM0NDY1NV5BMl5BanBnXkFtZTcwMjU5OTkyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,6.7,"21,966",tt0382189,movie,N/A,"$1,000,915",N/A,N/A,True,6.7/10,90%,82/100
If Anything Happens I Love You,2020,PG,20 Nov 2020,13 min,"Animation, Short, Drama","Michael Govier, Will McCormack","Will McCormack, Michael Govier",Muneer Lyati,"In the aftermath of tragedy, two grieving parents journey through an emotional void as they mourn the loss of a child.",None,United States,Won 1 Oscar. 22 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZGI5OTU4MWQtMDE4ZS00ZWViLTk2OTItMmU5ZmRlNzg1N2Y5XkEyXkFqcGdeQXVyMzc3MTE2Mzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.8,"21,353",tt11768948,movie,N/A,N/A,N/A,N/A,True,7.8/10,100%,
"To Sir, with Love",1967,Approved,14 Jun 1967,105 min,Drama,James Clavell,"E.R. Braithwaite, James Clavell","Sidney Poitier, Judy Geeson, Christian Roberts",Idealistic engineer-trainee and his experiences in teaching a group of rambunctious white high school students from the slums of London's East End.,English,United Kingdom,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTE1NmU5NjctNGQ3Yy00MWYzLWEzOTUtZmE2N2NmOTEwODE4XkEyXkFqcGdeQXVyMzU4Nzk4MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,7.6,"20,672",tt0062376,movie,N/A,N/A,N/A,N/A,True,7.6/10,90%,55/100
The Love Witch,2016,Unrated,10 Mar 2017,120 min,"Comedy, Horror, Romance",Anna Biller,Anna Biller,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell","A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.",English,United States,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMjA5NDEyMjQwNV5BMl5BanBnXkFtZTgwNDQ1MjMwMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,6.2,"20,460",tt3908142,movie,N/A,"$228,894",N/A,N/A,True,6.2/10,95%,82/100
Love Likes Coincidences,2011,N/A,04 Feb 2011,118 min,"Drama, Romance",Ömer Faruk Sorak,Nuran Evren Sit,"Mehmet Günsür, Belçim Bilgin, Altan Erkekli","Year 1977, a September morning in Ankara... Yilmaz tries to rush his pregnant wife Neriman to the hospital and he crushes into Omer's car. This accident causes Omer's pregnant wife Inci, who was in the back seat, to have a pre-ter...","Turkish, French",Turkey,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMjAwMjMyMzQzMV5BMl5BanBnXkFtZTcwNDE4MTc1NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"19,510",tt1807950,movie,18 Feb 2017,N/A,N/A,N/A,True,7.2/10,,
"Love, Guaranteed",2020,TV-PG,03 Sep 2020,90 min,"Comedy, Romance",Mark Steven Johnson,"Elizabeth Hackett, Hilary Galanoy","Rachael Leigh Cook, Damon Wayans Jr., Heather Graham","To save her small law firm, earnest lawyer Susan takes a high-paying case from Nick, a charming new client who wants to sue a dating website that guarantees love. But as the case heats up, so do Susan and Nick's feelings for each ...",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BNDE1MmE4MTktNzU0OS00YjdmLWEyNzYtY2JhNWE4ZWVlYmY5XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.6,"19,271",tt11100856,movie,N/A,N/A,N/A,N/A,True,5.6/10,58%,39/100
